mass,RT,mass.r,formula
a,b,d,e
78.0141,1.09,78.014,<none>
99.9962,1.01,99.996,C4 H4 O S
178.0096,1.01,178.01,C9 H6 O2 S
239.9887,3.19,239.989,C6 H12 N2 S4
181.9489,0.51,181.949,#N/A
202.0454,0.96,202.045,Laberalol
925.5033,4.27,925.503,> limit
358.9748,3.19,358.975,C18 H2 Cl N3 O4
541.8985,3.2,541.899,C18 H8 Cl2 N4 O6 S3
131.0945,1.44,131.095,C6 H13 N O2
301.9103,3.19,301.91,C13 Cl2 N2 O S
165.0788,1.49,165.079,C9 H11 N O2
763.5667,9.07,763.567,> limit nullnullnull 9.061833
921.0026,0.69,921.003,> limit nullnullnull 0.68687034
337.3346,8.47,337.335,C22 H43 N O
202.2412,1,202.241,<none> nullnullnull 0.99557894
535.1582,8.86,535.158,C34 H22 Cl N5
194.9303,3.19,194.93,C4 H5 N S4
100.0872,1.01,100.087,C6 H12 O
404.0906,0.96,404.091,C14 H25 Cl O9 S
662.4463,9.07,662.446,C44 H58 N2 O3
414.2059,4.86,414.206,414.2059@4.8574634
202.242,1.44,202.242,<none> nullnullnull 0.99557894
444.113,4.32,444.113,C20 H29 Cl N2 O S3
87.0144,3.19,87.014,C3 H5 N S
124.9788,0.87,124.979,<none> nullnullnull 0.87383336
287.9622,1.1,287.962,287.9617@1.0894998
636.3111,7.12,636.311,#N/A
169.0583,0.86,169.058,#N/A
436.0385,0.95,436.039,C16 H22 Cl2 N4 S3
233.9722,1.18,233.972,233.972@1.1691482
156.1902,1.1,156.19,C11 H24
79.9408,1,79.941,<none> nullnullnull 1.0044999
157.9556,1.01,157.956,C3 H4 Cl2 O3
382.1087,0.97,382.109,C10 H18 N6 O10
336.1939,8.06,336.194,336.1942@8.056982
263.9593,1.02,263.959,C9 H4 N4 S3
300.3527,1.01,300.353,<none> null 1.0154167
218.003,0.86,218.003,C3 H10 N2 O5 S2
161.0279,0.86,161.028,C12 H3 N
514.4055,9.18,514.406,C30 H58 O4 S
150.9582,3.19,150.958,C3 H5 N S3
308.1203,2.53,308.12,C15 H20 N2 O3 S
925.5032,4.27,925.503,> limit
200.2338,1.01,200.234,#N/A
352.1103,2.52,352.11,C17 H16 N6 O S
145.1577,0.85,145.158,C7 H19 N3
245.924,1.18,245.924,C5 H7 Cl O3 S3
388.1062,6.26,388.106,388.1054@6.25613
410.2328,8.06,410.233,C12 H34 N12 O2 S
414.9098,3.2,414.91,C10 H7 Cl2 N3 O7 S2
764.2183,0.97,764.218,> limit nullnullnull 0.99990916
278.152,6.01,278.152,C16 H22 O4
149.9902,1.02,149.99,C6 H2 N2 O S
609.1773,9.05,609.177,C32 H32 Cl N O9
187.0633,1.99,187.063,C11 H9 N O2
468.4242,1.09,468.424,468.4253@1.106
240.006,1.58,240.006,240.0057@1.5682225
328.1502,2.39,328.15,C16 H24 O7
889.483,4.27,889.483,> limit nullnullnull 4.2737966
340.1204,0.86,340.12,C14 H20 N4 O4 S
118.9868,3.19,118.987,C3 H5 N S2
907.4946,4.26,907.495,> limit nullnullnull 4.2793517
437.2625,8.48,437.263,C21 H30 N10 O
477.9543,2.73,477.954,C18 H8 Cl2 N4 O6 S
356.2599,1.01,356.26,#N/A
136.0397,1.08,136.04,C5 H4 N4 O
390.2758,8.09,390.276,C24 H38 O4
181.9775,4.31,181.978,C6 H2 N2 O3 S
908.4865,4.15,908.487,> limit nullnullnull 4.160055
141.9392,1.04,141.939,C3 H4 Cl2 S
420.249,8.47,420.249,420.2485@8.468117
148.038,6.26,148.038,C6 H12 S2
134.0917,1.7,134.092,C6 H14 O3
143.9805,1.17,143.981,C4 H4 N2 S2
181.0736,1.44,181.074,C4 H11 N3 O5
402.2982,7.17,402.298,C23 H46 O S2
286.1383,2.26,286.138,C19 H16 N2 O
675.5166,8.48,675.517,C36 H66 Cl N9 O
156.0742,1.08,156.074,C8 H12 O3
170.1788,1.44,170.179,C10 H22 N2
89.9696,0.99,89.97,<none> nullnullnull 1.0168333
504.0923,4.32,504.092,C25 H28 O3 S4
327.3134,7.69,327.313,C20 H41 N O2
786.4305,8.07,786.431,#N/A
358.1659,2.43,358.166,C18 H22 N4 O4
632.3464,9.2,632.346,C32 H49 Cl N6 O5
522.3205,8.5,522.321,522.3215@8.490568
907.4938,4.12,907.494,> limit nullnullnull 4.2793517
456.2411,8.07,456.241,#N/A
146.0425,0.86,146.043,C6 H10 O2 S
494.2822,8.2,494.282,494.2841@8.161103
376.1798,0.86,376.18,C16 H24 N8 O S
141.1515,1.44,141.152,C9 H19 N
422.2476,8.47,422.248,<none> nullnullnull 8.470268
400.2086,8.47,400.209,400.2083@8.463777
889.4833,4.27,889.483,> limit nullnullnull 4.2737966
207.9485,1.01,207.949,C8 H Cl N2 O S
763.4401,8.48,763.44,C45 H65 N O5 S2
300.7141,1.02,300.714,<none> nullnullnull 1.0144286
462.1258,6.93,462.126,C28 H19 Cl N4 O
131.0942,1.12,131.094,C6 H13 N O2
238.2172,7.52,238.217,<none> nullnullnull 1.4274446
468.5347,1.09,468.535,<none> null 1.1086154
250.177,2.45,250.177,C8 H22 N6 O3
312.155,2.25,312.155,#N/A
350.0029,1.1,350.003,C7 H18 N4 O2 S5
360.3443,1.22,360.344,#N/A
925.5036,4.12,925.504,> limit
477.3164,0.8,477.316,C21 H43 N5 O7
296.0782,6.26,296.078,C12 H16 N4 O S2
250.9739,1.31,250.974,C6 H5 N O8 S
223.9921,1.12,223.992,C5 H8 N2 O4 S2
599.2776,0.83,599.278,C30 H41 N5 O6 S
260.1231,1.47,260.123,C16 H20 O S
